age,page,sex,psex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b
42,41,"Male","Female",22.08333,"21+","Cohabiting","2","9","6",21,16,"6-10x","6-10x","1-5x","1-5x","1-5x","0x","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","Not at all","21 to 50 times","6 to 10 times","1 to 5 times"
20,20,"Female","Male",5.5,"3-5","Separate households","0","10 - Completely satisfied","9",25,,"11-20x","6-10x","6-10x","21-50x","> 50x","> 50x","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times"
42,34,"Female","Male",9.166667,"6-10","Cohabiting","3+","8","8",18,21,"21-50x","21-50x","21-50x","11-20x","11-20x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times"
26,25,"Male","Female",9.083333,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",25,25,"> 50x","21-50x","> 50x","> 50x","21-50x","21-50x","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times"
46,51,"Female","Male",16.5,"11-20","Cohabiting","2","8","8",25,24,"11-20x","1-5x","6-10x","11-20x","6-10x","1-5x","11 to 20 times","1 to 5 times","6 to 10 times","21 to 50 times","11 to 20 times","21 to 50 times","11 to 20 times","6 to 10 times","1 to 5 times","21 to 50 times","11 to 20 times","6 to 10 times"
26,30,"Female","Male",6.416667,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",26,26,"21-50x","> 50x","21-50x","11-20x","6-10x","21-50x","21 to 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","11 to 20 times","More than 50 times"
47,46,"Female","Male",25.5,"21+","Cohabiting","1","10 - Completely satisfied","8",26,23,"21-50x","11-20x","6-10x","11-20x","6-10x","6-10x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times"
51,47,"Male","Female",26.25,"21+","Cohabiting","1","10 - Completely satisfied","10 - Completely satisfied",24,27,"21-50x","6-10x","6-10x","21-50x","6-10x","6-10x","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times"
43,48,"Female","Male",.75,"0-2","Separate households","2","8","7",24,,"1-5x","1-5x","0x","> 50x","6-10x","1-5x","1 to 5 times","1 to 5 times","Not at all","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","6 to 10 times","1 to 5 times","More than 50 times","6 to 10 times","6 to 10 times"
34,32,"Male","Female",4.333333,"3-5","Cohabiting","0","7","8",16,21,"11-20x","11-20x","6-10x","6-10x","0x","6-10x","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","Not at all","6 to 10 times","11 to 20 times","1 to 5 times","11 to 20 times"
30,30,"Female","Male",10.41667,"6-10","Cohabiting","0","10 - Completely satisfied","8",24,24,"21-50x","21-50x","11-20x","11-20x","1-5x","1-5x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times"
30,28,"Female","Male",9.083333,"6-10","Cohabiting","3+","10 - Completely satisfied","9",26,25,"> 50x","> 50x","> 50x","21-50x","21-50x","21-50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times"
41,38,"Male","Female",7.5,"6-10","Cohabiting","3+","7","7",,21,"11-20x","11-20x","21-50x","21-50x","6-10x","11-20x","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","More than 50 times","More than 50 times","21 to 50 times","6 to 10 times","11 to 20 times","More than 50 times","More than 50 times","More than 50 times"
22,26,"Female","Male",,,"Cohabiting","0","9","10 - Completely satisfied",20,24,"21-50x","21-50x","21-50x","> 50x","21-50x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times"
40,37,"Male","Female",19.16667,"11-20","Cohabiting","1","8","7",19,20,"21-50x","11-20x","11-20x","11-20x","21-50x","21-50x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times"
34,31,"Male","Diverse",3.75,"3-5","Separate households","0","9","10 - Completely satisfied",26,26,"21-50x","6-10x","11-20x","> 50x","1-5x","21-50x","21 to 50 times","6 to 10 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","More than 50 times","1 to 5 times","21 to 50 times","More than 50 times","1 to 5 times","21 to 50 times"
39,35,"Male","Female",9,"6-10","Cohabiting","0","8","6",22,20,"1-5x","1-5x","1-5x","1-5x","1-5x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","6 to 10 times"
