age,page,sex,psex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b
39,40,"Female","Male",17.5,"11-20","Cohabiting","2","9","8",23,,"6-10x","11-20x","11-20x","11-20x","21-50x","21-50x","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times"
39,33,"Male","Female",14.25,"11-20","Cohabiting","2","6","7",17,23,"1-5x","1-5x","1-5x","6-10x","1-5x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","More than 50 times","11 to 20 times","21 to 50 times"
42,41,"Female","Male",22.25,"21+","Cohabiting","2","9","10 - Completely satisfied",26,23,"0x","1-5x","1-5x","1-5x","6-10x","1-5x","Not at all","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times"
40,40,"Male","Male",3.916667,"3-5","Cohabiting","0","6","9",20,21,"6-10x","6-10x","6-10x","11-20x","11-20x","11-20x","6 to 10 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times"
50,53,"Female","Male",24.16667,"21+","Cohabiting","2","7","8",18,22,"11-20x","1-5x","6-10x","21-50x","6-10x","21-50x","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","11 to 20 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times"
31,32,"Male","Female",13.5,"11-20","Cohabiting","0","8","8",20,24,"6-10x","0x","1-5x","1-5x","1-5x","1-5x","6 to 10 times","Not at all","1 to 5 times","11 to 20 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times"
40,41,"Female","Male",14,"11-20","Cohabiting","2","8","9",26,26,"1-5x","1-5x","1-5x","21-50x","11-20x","6-10x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times"
41,39,"Male","Female",,,"Cohabiting","2","9","9",24,27,"> 50x","21-50x","6-10x","6-10x","6-10x","1-5x","More than 50 times","21 to 50 times","6 to 10 times","More than 50 times","21 to 50 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times"
51,46,"Male","Female",25,"21+","Cohabiting","1","10 - Completely satisfied","10 - Completely satisfied",23,24,"21-50x","21-50x","21-50x","11-20x","11-20x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times"
43,41,"Female","Male",10.83333,"6-10","Cohabiting","3+","5","7",18,21,"1-5x","0x","0x","1-5x","1-5x","0x","1 to 5 times","Not at all","Not at all","11 to 20 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","Not at all"
49,58,"Female","Male",14.75,"11-20","Cohabiting","0","9","8",22,20,"21-50x","11-20x","6-10x","11-20x","1-5x","1-5x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times"
30,30,"Male","Female",11.75,"11-20","Cohabiting","0","9","9",25,24,"21-50x","21-50x","11-20x","21-50x","1-5x","21-50x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","1 to 5 times","21 to 50 times"
41,38,"Male","Female",4.916667,"3-5","Cohabiting","3+","7","9",20,24,"6-10x","1-5x","1-5x","11-20x","21-50x","11-20x","6 to 10 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times"
41,44,"Female","Male",24.25,"21+","Cohabiting","2","10 - Completely satisfied","8",24,25,"11-20x","11-20x","11-20x","11-20x","11-20x","11-20x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times"
50,49,"Female","Diverse",24.83333,"21+","Cohabiting","3+","8","10 - Completely satisfied",19,18,"1-5x","1-5x","0x","1-5x","1-5x","1-5x","1 to 5 times","1 to 5 times","Not at all","11 to 20 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times"
39,32,"Male","Female",14.33333,"11-20","Cohabiting","2","10 - Completely satisfied","8",23,25,"1-5x","6-10x","1-5x","11-20x","21-50x","11-20x","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times"
31,28,"Male","Female",2.583333,"0-2","Cohabiting","0","7","7",24,26,"21-50x","11-20x","6-10x","6-10x","6-10x","11-20x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times"
50,49,"Male","Female",26.58333,"21+","Cohabiting","2","5","3",18,14,"1-5x","1-5x","1-5x","1-5x","0x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","11 to 20 times","1 to 5 times","Not at all","1 to 5 times","Not at all","Not at all","1 to 5 times"
30,31,"Female","Male",9.166667,"6-10","Cohabiting","1","9","8",19,20,"0x","1-5x","0x","11-20x","> 50x","11-20x","Not at all","1 to 5 times","Not at all","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times"
50,51,"Female","Male",32.25,"21+","Separate households","3+","10 - Completely satisfied","10 - Completely satisfied",24,20,"6-10x","6-10x","6-10x","6-10x","11-20x","11-20x","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times"
28,28,"Female","Male",6.75,"6-10","Cohabiting","0","10 - Completely satisfied","9",27,24,"21-50x","1-5x","21-50x","> 50x","1-5x","21-50x","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","1 to 5 times","21 to 50 times","More than 50 times","1 to 5 times","21 to 50 times","6 to 10 times","1 to 5 times","6 to 10 times"
40,39,"Male","Female",17.83333,"11-20","Cohabiting","2","8","8",22,,"21-50x","6-10x","1-5x","> 50x","0x","1-5x","21 to 50 times","6 to 10 times","1 to 5 times","21 to 50 times","6 to 10 times","1 to 5 times","More than 50 times","Not at all","1 to 5 times","No answer","Not at all","No answer"
51,57,"Male","Female",30.75,"21+","Cohabiting","1","5","5",19,19,"11-20x","1-5x","0x","1-5x","6-10x","1-5x","11 to 20 times","1 to 5 times","Not at all","21 to 50 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times"
31,40,"Female","Male",8.5,"6-10","Cohabiting","1","7","7",22,17,"6-10x","1-5x","1-5x","1-5x","1-5x","0x","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","Not at all","11 to 20 times","11 to 20 times","1 to 5 times"
49,48,"Male","Female",25.33333,"21+","Cohabiting","3+","9","7",24,22,"11-20x","11-20x","6-10x","> 50x","> 50x","21-50x","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times"
41,50,"Female","Male",4.083333,"3-5","Cohabiting","2","7","8",20,27,"21-50x","21-50x","21-50x","> 50x","> 50x","> 50x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times"
49,48,"Male","Female",31.58333,"21+","Cohabiting","0","9","9",21,22,"> 50x","> 50x","> 50x","21-50x","21-50x","11-20x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times"
50,58,"Female","Male",2.25,"0-2","Cohabiting","1","10 - Completely satisfied","10 - Completely satisfied",28,23,"> 50x","> 50x","> 50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","No answer","No answer","No answer","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times"
31,29,"Female","Male",2.333333,"0-2","Cohabiting","0","10 - Completely satisfied","9",28,22,"> 50x","> 50x","> 50x","21-50x","21-50x","11-20x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times"
41,34,"Male","Female",4.416667,"3-5","Cohabiting","0","8","9",25,,"21-50x","11-20x","6-10x","> 50x","> 50x","> 50x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times"
31,31,"Male","Female",.8333333,"0-2","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",25,24,"> 50x","21-50x","11-20x","6-10x","1-5x","11-20x","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times"
39,39,"Female","Male",18.25,"11-20","Cohabiting","3+","9","9",24,23,"21-50x","> 50x","21-50x","21-50x","> 50x","21-50x","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times"
29,29,"Female","Male",6.166667,"6-10","Cohabiting","0","9","9",23,21,"21-50x","6-10x","11-20x","21-50x","21-50x","11-20x","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times"
40,41,"Male","Female",20.66667,"11-20","Cohabiting","1","8","5",21,20,"6-10x","0x","6-10x","1-5x","0x","1-5x","6 to 10 times","Not at all","6 to 10 times","21 to 50 times","6 to 10 times","11 to 20 times","1 to 5 times","Not at all","1 to 5 times","11 to 20 times","Not at all","11 to 20 times"
30,31,"Female","Male",9.666667,"6-10","Cohabiting","0","7","8",22,26,"> 50x","> 50x","21-50x","21-50x","6-10x","21-50x","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","More than 50 times","6 to 10 times","More than 50 times"
40,42,"Female","Male",21.75,"21+","Cohabiting","3+","9","7",22,24,"11-20x","11-20x","11-20x","11-20x","1-5x","1-5x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times"
49,48,"Male","Female",32.25,"21+","Cohabiting","1","7","6",,21,"21-50x","11-20x","6-10x","21-50x","6-10x","1-5x","21 to 50 times","11 to 20 times","6 to 10 times","No answer","No answer","No answer","21 to 50 times","6 to 10 times","1 to 5 times","More than 50 times","More than 50 times","More than 50 times"
30,32,"Female","Male",4.916667,"3-5","Cohabiting","1","8","6",14,18,"6-10x","1-5x","1-5x","0x","1-5x","0x","6 to 10 times","1 to 5 times","1 to 5 times","21 to 50 times","6 to 10 times","11 to 20 times","Not at all","1 to 5 times","Not at all","Not at all","1 to 5 times","Not at all"
50,47,"Male","Female",26.5,"21+","Cohabiting","2","9","8",20,22,"21-50x","1-5x","11-20x","6-10x","1-5x","6-10x","21 to 50 times","1 to 5 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times"
31,31,"Male","Female",10.33333,"6-10","Cohabiting","1","6","6",22,18,"1-5x","21-50x","21-50x","6-10x","6-10x","1-5x","1 to 5 times","21 to 50 times","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","6 to 10 times","6 to 10 times","1 to 5 times","More than 50 times","21 to 50 times","More than 50 times"
29,29,"Female","Male",8.833333,"6-10","Cohabiting","2","9","9",22,21,"11-20x","6-10x","21-50x","11-20x","6-10x","11-20x","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times"
39,38,"Male","Female",19.41667,"11-20","Cohabiting","2","7","9",16,22,"1-5x","1-5x","1-5x","1-5x","6-10x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","No answer","11 to 20 times","11 to 20 times"
50,48,"Male","Female",25.33333,"21+","Cohabiting","0","9","9",24,25,"21-50x","11-20x","1-5x","> 50x","21-50x","11-20x","21 to 50 times","11 to 20 times","1 to 5 times","21 to 50 times","11 to 20 times","1 to 5 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times"
29,29,"Female","Male",8.5,"6-10","Cohabiting","1","8","8",26,28,"6-10x","1-5x","11-20x","6-10x","1-5x","6-10x","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times"
40,40,"Male","Female",21.16667,"21+","Cohabiting","0","9","9",28,26,"21-50x","11-20x","11-20x","21-50x","11-20x","11-20x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times"
49,43,"Male","Female",25,"21+","Cohabiting","1","8","8",24,22,"6-10x","1-5x","1-5x","11-20x","1-5x","11-20x","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times"
29,44,"Female","Male",9.833333,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",29,30,"6-10x","6-10x","6-10x","21-50x","11-20x","6-10x","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","More than 50 times","21 to 50 times","11 to 20 times"
40,39,"Female","Male",12.75,"11-20","Cohabiting","2","8","7",19,,"11-20x","11-20x","11-20x","1-5x","1-5x","1-5x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times"
30,28,"Male","Female",1.25,"0-2","Separate households","0","10 - Completely satisfied","10 - Completely satisfied",22,25,"> 50x","> 50x","> 50x","> 50x","11-20x","> 50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","11 to 20 times","More than 50 times","More than 50 times","11 to 20 times","More than 50 times"
39,40,"Female","Male",15.16667,"11-20","Cohabiting","1","9","7",16,21,"6-10x","6-10x","1-5x","6-10x","11-20x","1-5x","6 to 10 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times"
51,52,"Female","Male",7.916667,"6-10","Cohabiting","1","7","8",19,,"1-5x","1-5x","0x","11-20x","6-10x","6-10x","1 to 5 times","1 to 5 times","Not at all","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times"
39,34,"Male","Female",3.5,"3-5","Cohabiting","0","9","9",26,25,"21-50x","11-20x","11-20x","21-50x","11-20x","11-20x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times"
51,56,"Male","Male",24.25,"21+","Cohabiting","0","5","9",24,19,"21-50x","21-50x","11-20x","1-5x","1-5x","1-5x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times"
41,39,"Male","Female",19.58333,"11-20","Cohabiting","2","9","9",20,21,"11-20x","11-20x","1-5x","1-5x","1-5x","1-5x","11 to 20 times","11 to 20 times","1 to 5 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times"
50,47,"Male","Female",22.91667,"21+","Cohabiting","1","9","8",21,23,"1-5x","1-5x","0x","1-5x","0x","1-5x","1 to 5 times","1 to 5 times","Not at all","6 to 10 times","1 to 5 times","Not at all","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times"
51,38,"Male","Female",8.75,"6-10","Cohabiting","0","9","8",28,27,"21-50x","21-50x","11-20x","11-20x","1-5x","21-50x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","1 to 5 times","21 to 50 times","11 to 20 times","1 to 5 times","21 to 50 times"
51,51,"Female","Male",20.16667,"11-20","Cohabiting","3+","8","9",15,,"1-5x","11-20x","11-20x","6-10x","21-50x","11-20x","1 to 5 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times"
49,44,"Male","Female",19.25,"11-20","Cohabiting","3+","6","7",20,20,"1-5x","1-5x","0x","6-10x","6-10x","1-5x","1 to 5 times","1 to 5 times","Not at all","More than 50 times","More than 50 times","More than 50 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times"
51,47,"Male","Female",19.25,"11-20","Cohabiting","2","5","8",22,23,"21-50x","11-20x","11-20x","21-50x","21-50x","21-50x","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times"
41,35,"Male","Female",18.16667,"11-20","Cohabiting","2","6","8",20,23,"1-5x","1-5x","0x","11-20x","1-5x","1-5x","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","No answer","No answer","No answer"
50,55,"Female","Male",31.5,"21+","Cohabiting","2","9","8",21,16,"6-10x","1-5x","6-10x","> 50x","11-20x","6-10x","6 to 10 times","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","More than 50 times","11 to 20 times","6 to 10 times","More than 50 times","More than 50 times","More than 50 times"
41,40,"Male","Female",21.16667,"21+","Cohabiting","2","10 - Completely satisfied","7",18,22,"11-20x","21-50x","21-50x","1-5x","0x","1-5x","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times"
38,41,"Female","Male",18.16667,"11-20","Cohabiting","3+","10 - Completely satisfied","10 - Completely satisfied",28,29,"21-50x","21-50x","21-50x","21-50x","21-50x","21-50x","21 to 50 times","21 to 50 times","21 to 50 times","No answer","No answer","No answer","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times"
40,51,"Female","Male",14.91667,"11-20","Cohabiting","2","9","10 - Completely satisfied",28,22,"21-50x","> 50x","6-10x","11-20x","6-10x","6-10x","21 to 50 times","More than 50 times","6 to 10 times","1 to 5 times","21 to 50 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times"
49,49,"Female","Diverse",21.33333,"21+","Cohabiting","1","7","3",19,21,"21-50x","0x","1-5x","6-10x","1-5x","1-5x","21 to 50 times","Not at all","1 to 5 times","21 to 50 times","Not at all","Not at all","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times"
41,40,"Male","Female",13.66667,"11-20","Cohabiting","2","8","7",22,18,"11-20x","6-10x","6-10x","6-10x","6-10x","1-5x","11 to 20 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","6 to 10 times"
31,30,"Male","Female",8.083333,"6-10","Cohabiting","3+","10 - Completely satisfied","9",24,24,"21-50x","> 50x","> 50x","11-20x","11-20x","11-20x","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times"
30,29,"Male","Female",1.333333,"0-2","Cohabiting","0","10 - Completely satisfied","8",26,24,"> 50x","6-10x","> 50x","11-20x","1-5x","11-20x","More than 50 times","6 to 10 times","More than 50 times","More than 50 times","6 to 10 times","More than 50 times","11 to 20 times","1 to 5 times","11 to 20 times","21 to 50 times","1 to 5 times","21 to 50 times"
29,27,"Female","Male",7.416667,"6-10","Cohabiting","0","9","9",21,21,"21-50x","> 50x","> 50x","21-50x","> 50x","> 50x","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times"
50,54,"Male","Female",20.33333,"11-20","Cohabiting","0","9","8",16,23,"1-5x","1-5x","1-5x","1-5x","1-5x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","21 to 50 times","21 to 50 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times"
30,25,"Male","Female",2.666667,"0-2","Cohabiting","0","9","9",27,26,"> 50x","> 50x","21-50x","21-50x","21-50x","21-50x","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times"
41,39,"Male","Female",11.41667,"11-20","Cohabiting","2","5","6",15,23,"0x","1-5x","0x","1-5x","1-5x","0x","Not at all","1 to 5 times","Not at all","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times"
39,36,"Male","Female",12.25,"11-20","Cohabiting","0","8","9",24,27,"11-20x","11-20x","11-20x","11-20x","6-10x","1-5x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times"
41,46,"Female","Male",19.75,"11-20","Cohabiting","2","6","8",20,19,"6-10x","6-10x","1-5x","1-5x","1-5x","1-5x","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times"
29,27,"Male","Female",10.33333,"6-10","Separate households","0","8","7",20,22,"6-10x","0x","0x","1-5x","6-10x","1-5x","6 to 10 times","Not at all","Not at all","6 to 10 times","Not at all","Not at all","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times"
49,34,"Male","Female",2.333333,"0-2","Cohabiting","1","8","9",22,23,"> 50x","21-50x","21-50x","21-50x","21-50x","21-50x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times"
50,67,"Female","Male",28.75,"21+","Cohabiting","0","4","7",18,16,"1-5x","0x","0x","0x","0x","0x","1 to 5 times","Not at all","Not at all","Not at all","Not at all","1 to 5 times","Not at all","Not at all","Not at all","6 to 10 times","1 to 5 times","6 to 10 times"
50,60,"Female","Male",13.83333,"11-20","Cohabiting","0","8","8",21,23,"11-20x","1-5x","1-5x","21-50x","6-10x","6-10x","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times"
30,28,"Male","Female",8,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",25,26,"> 50x","> 50x","> 50x","> 50x","21-50x","21-50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times"
29,31,"Female","Male",4.25,"3-5","Cohabiting","0","9","10 - Completely satisfied",28,28,"21-50x","21-50x","11-20x","> 50x","21-50x","21-50x","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times"
39,37,"Female","Male",19,"11-20","Cohabiting","1","8","8",25,,"21-50x","21-50x","21-50x","6-10x","6-10x","6-10x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times"
40,45,"Female","Male",19.41667,"11-20","Cohabiting","2","8","7",24,22,"21-50x","> 50x","21-50x","21-50x","21-50x","11-20x","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times"
51,55,"Female","Male",8.583333,"6-10","Cohabiting","1","7","8",23,30,"21-50x","21-50x","21-50x","11-20x","11-20x","11-20x","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times"
30,26,"Female","Male",3.166667,"3-5","Cohabiting","0","8","10 - Completely satisfied",19,20,"> 50x","11-20x","21-50x","> 50x","1-5x","1-5x","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","1 to 5 times","1 to 5 times","11 to 20 times","More than 50 times","More than 50 times"
